"","STATE","EVTYPE","Year","Month","FATALITIES","INJURIES","PROPDMG","CROPDMG"
"201","AR","HAIL",1971,"Jan",0,0,0,0
"202","GA","HAIL",1971,"Jan",0,0,0,0
"203","MD","HAIL",1971,"Jan",0,0,0,0
"204","MS","HAIL",1971,"Jan",0,0,0,0
"205","SC","HAIL",1971,"Jan",0,0,0,0
"206","TN","HAIL",1971,"Jan",0,0,0,0
"207","AL","TORNADO",1971,"Jan",0,0,50,0
"208","AR","TORNADO",1971,"Jan",0,10,25,0
"209","FL","TORNADO",1971,"Jan",0,0,0.25,0
"210","GA","TORNADO",1971,"Jan",1,13,277.5,0
"211","HI","TORNADO",1971,"Jan",0,4,252.5,0
"212","NC","TORNADO",1971,"Jan",0,0,250,0
"213","AL","TSTM WIND",1971,"Jan",0,0,0,0
"214","AR","TSTM WIND",1971,"Jan",0,0,0,0
"215","DE","TSTM WIND",1971,"Jan",0,0,0,0
"216","FL","TSTM WIND",1971,"Jan",0,0,0,0
"217","GA","TSTM WIND",1971,"Jan",0,0,0,0
"218","MD","TSTM WIND",1971,"Jan",0,0,0,0
"219","MS","TSTM WIND",1971,"Jan",0,0,0,0
"220","NJ","TSTM WIND",1971,"Jan",0,0,0,0
"221","OK","TSTM WIND",1971,"Jan",0,0,0,0
"222","PA","TSTM WIND",1971,"Jan",0,0,0,0
"223","SC","TSTM WIND",1971,"Jan",0,0,0,0
"224","VA","TSTM WIND",1971,"Jan",0,0,0,0
"225","GA","HAIL",1972,"Jan",0,0,0,0
"226","NC","HAIL",1972,"Jan",0,0,0,0
"227","TN","HAIL",1972,"Jan",0,0,0,0
"228","AL","TORNADO",1972,"Jan",4,90,1275,0
"229","FL","TORNADO",1972,"Jan",0,5,30,0
"230","GA","TORNADO",1972,"Jan",1,35,1212.5,0
"231","MS","TORNADO",1972,"Jan",0,14,130,0
"232","SC","TORNADO",1972,"Jan",0,3,505,0
"233","TX","TORNADO",1972,"Jan",0,0,25,0
"234","AL","TSTM WIND",1972,"Jan",0,0,0,0
"235","CA","TSTM WIND",1972,"Jan",0,0,0,0
"236","FL","TSTM WIND",1972,"Jan",0,0,0,0
"237","GA","TSTM WIND",1972,"Jan",0,0,0,0
"238","KY","TSTM WIND",1972,"Jan",0,0,0,0
"239","LA","TSTM WIND",1972,"Jan",0,0,0,0
"240","NC","TSTM WIND",1972,"Jan",0,0,0,0
"241","AL","HAIL",1973,"Jan",0,0,0,0
"242","LA","HAIL",1973,"Jan",0,0,0,0
"243","TX","HAIL",1973,"Jan",0,0,0,0
"244","AL","TORNADO",1973,"Jan",0,0,25,0
"245","AR","TORNADO",1973,"Jan",0,0,0.25,0
"246","FL","TORNADO",1973,"Jan",0,32,105.28,0
"247","IL","TORNADO",1973,"Jan",0,0,0.03,0
"248","LA","TORNADO",1973,"Jan",1,6,100,0
"249","MO","TORNADO",1973,"Jan",0,2,275,0
"250","MS","TORNADO",1973,"Jan",0,8,525,0
"251","OK","TORNADO",1973,"Jan",0,4,250,0
"252","TX","TORNADO",1973,"Jan",0,4,840.25,0
"253","AL","TSTM WIND",1973,"Jan",0,0,0,0
"254","AR","TSTM WIND",1973,"Jan",0,0,0,0
"255","FL","TSTM WIND",1973,"Jan",0,0,0,0
"256","LA","TSTM WIND",1973,"Jan",0,0,0,0
"257","MO","TSTM WIND",1973,"Jan",0,0,0,0
"258","MS","TSTM WIND",1973,"Jan",0,0,0,0
"259","OK","TSTM WIND",1973,"Jan",0,0,0,0
"260","TN","TSTM WIND",1973,"Jan",0,0,0,0
"261","TX","TSTM WIND",1973,"Jan",0,0,0,0
"262","AL","HAIL",1974,"Jan",0,0,0,0
"263","LA","HAIL",1974,"Jan",0,0,0,0
"264","SC","HAIL",1974,"Jan",0,0,0,0
"265","TX","HAIL",1974,"Jan",0,0,0,0
"266","WV","HAIL",1974,"Jan",0,0,0,0
"267","AL","TORNADO",1974,"Jan",1,7,550.25,0
"268","AR","TORNADO",1974,"Jan",0,2,50,0
"269","FL","TORNADO",1974,"Jan",1,4,250,0
"270","GA","TORNADO",1974,"Jan",0,1,125,0
"271","LA","TORNADO",1974,"Jan",0,0,27.5,0
"272","MD","TORNADO",1974,"Jan",0,0,2.5,0
"273","MS","TORNADO",1974,"Jan",0,9,325,0
"274","OH","TORNADO",1974,"Jan",0,2,250,0
"275","TX","TORNADO",1974,"Jan",0,3,250,0
"276","AL","TSTM WIND",1974,"Jan",0,0,0,0
"277","GA","TSTM WIND",1974,"Jan",0,0,0,0
"278","IN","TSTM WIND",1974,"Jan",0,0,0,0
"279","KY","TSTM WIND",1974,"Jan",0,0,0,0
"280","LA","TSTM WIND",1974,"Jan",0,0,0,0
"281","ME","TSTM WIND",1974,"Jan",0,0,0,0
"282","MI","TSTM WIND",1974,"Jan",0,0,0,0
"283","MS","TSTM WIND",1974,"Jan",0,0,0,0
"284","NY","TSTM WIND",1974,"Jan",0,0,0,0
"285","OH","TSTM WIND",1974,"Jan",0,0,0,0
"286","SC","TSTM WIND",1974,"Jan",0,0,0,0
"287","TN","TSTM WIND",1974,"Jan",0,0,0,0
"288","TX","TSTM WIND",1974,"Jan",0,0,0,0
"289","VA","TSTM WIND",1974,"Jan",0,0,0,0
"290","WV","TSTM WIND",1974,"Jan",0,0,0,0
"291","AL","HAIL",1975,"Jan",0,0,0,0
"292","AR","HAIL",1975,"Jan",0,0,0,0
"293","GA","HAIL",1975,"Jan",0,0,0,0
"294","AL","TORNADO",1975,"Jan",1,88,1337.5,0
"295","AR","TORNADO",1975,"Jan",0,5,50,0
"296","FL","TORNADO",1975,"Jan",1,37,1077.5,0
"297","GA","TORNADO",1975,"Jan",0,16,102.5,0
"298","IL","TORNADO",1975,"Jan",0,0,252.5,0
"299","IN","TORNADO",1975,"Jan",0,0,25,0
"300","LA","TORNADO",1975,"Jan",1,21,182.5,0
"301","MS","TORNADO",1975,"Jan",9,211,1328,0
"302","NC","TORNADO",1975,"Jan",0,0,25,0
"303","OK","TORNADO",1975,"Jan",0,0,250,0
"304","TX","TORNADO",1975,"Jan",0,0,350,0
"305","VA","TORNADO",1975,"Jan",0,2,50,0
"306","AL","TSTM WIND",1975,"Jan",0,0,0,0
"307","AR","TSTM WIND",1975,"Jan",0,0,0,0
"308","FL","TSTM WIND",1975,"Jan",0,0,0,0
"309","GA","TSTM WIND",1975,"Jan",0,0,0,0
"310","IL","TSTM WIND",1975,"Jan",0,0,0,0
"311","IN","TSTM WIND",1975,"Jan",0,0,0,0
"312","KY","TSTM WIND",1975,"Jan",0,0,0,0
"313","LA","TSTM WIND",1975,"Jan",0,0,0,0
"314","MI","TSTM WIND",1975,"Jan",0,0,0,0
"315","MO","TSTM WIND",1975,"Jan",0,0,0,0
"316","MS","TSTM WIND",1975,"Jan",0,0,0,0
"317","NC","TSTM WIND",1975,"Jan",0,0,0,0
"318","OH","TSTM WIND",1975,"Jan",0,0,0,0
"319","OK","TSTM WIND",1975,"Jan",0,0,0,0
"320","PA","TSTM WIND",1975,"Jan",0,0,0,0
"321","SC","TSTM WIND",1975,"Jan",0,0,0,0
"322","TN","TSTM WIND",1975,"Jan",0,0,0,0
"323","TX","TSTM WIND",1975,"Jan",0,0,0,0
"324","UT","TSTM WIND",1975,"Jan",0,0,0,0
"325","VA","TSTM WIND",1975,"Jan",0,0,0,0
"326","WI","TSTM WIND",1975,"Jan",0,0,0,0
"327","WV","TSTM WIND",1975,"Jan",0,0,0,0
"328","AL","TORNADO",1976,"Jan",0,1,250,0
"329","FL","TORNADO",1976,"Jan",0,0,5,0
"330","IN","TORNADO",1976,"Jan",0,0,75,0
"331","LA","TORNADO",1976,"Jan",0,8,52.5,0
"332","OH","TORNADO",1976,"Jan",0,0,25,0
"333","TX","TORNADO",1976,"Jan",0,0,25,0
"334","AL","TSTM WIND",1976,"Jan",0,0,0,0
"335","IL","TSTM WIND",1976,"Jan",0,0,0,0
"336","IN","TSTM WIND",1976,"Jan",0,0,0,0
"337","KY","TSTM WIND",1976,"Jan",0,0,0,0
"338","LA","TSTM WIND",1976,"Jan",0,0,0,0
"339","MO","TSTM WIND",1976,"Jan",0,0,0,0
"340","MS","TSTM WIND",1976,"Jan",0,0,0,0
"341","OH","TSTM WIND",1976,"Jan",0,0,0,0
"342","PA","TSTM WIND",1976,"Jan",0,0,0,0
"343","TN","TSTM WIND",1976,"Jan",0,0,0,0
"344","WV","TSTM WIND",1976,"Jan",0,0,0,0
"345","GA","HAIL",1977,"Jan",0,0,0,0
"346","CA","TORNADO",1977,"Jan",0,0,25,0
"347","FL","TORNADO",1977,"Jan",0,0,250.25,0
"348","MS","TORNADO",1977,"Jan",0,0,27.5,0
"349","AR","HAIL",1978,"Jan",0,0,0,0
"350","LA","HAIL",1978,"Jan",0,0,0,0
"351","NC","HAIL",1978,"Jan",0,0,0,0
"352","TN","HAIL",1978,"Jan",0,0,0,0
"353","VA","HAIL",1978,"Jan",0,0,0,0
"354","AR","TORNADO",1978,"Jan",1,9,290.25,0
"355","CA","TORNADO",1978,"Jan",0,0,0.03,0
"356","FL","TORNADO",1978,"Jan",0,27,885,0
"357","LA","TORNADO",1978,"Jan",0,0,2.5,0
"358","NC","TORNADO",1978,"Jan",0,0,25,0
"359","TN","TORNADO",1978,"Jan",0,0,500,0
"360","VA","TORNADO",1978,"Jan",1,10,275,0
"361","AL","TSTM WIND",1978,"Jan",0,0,0,0
"362","CA","TSTM WIND",1978,"Jan",0,0,0,0
"363","FL","TSTM WIND",1978,"Jan",0,0,0,0
"364","GA","TSTM WIND",1978,"Jan",0,0,0,0
"365","LA","TSTM WIND",1978,"Jan",0,0,0,0
"366","SC","TSTM WIND",1978,"Jan",0,0,0,0
"367","VA","TSTM WIND",1978,"Jan",0,0,0,0
"368","AZ","HAIL",1979,"Jan",0,0,0,0
"369","CA","HAIL",1979,"Jan",0,0,0,0
"370","CA","TORNADO",1979,"Jan",0,0,2.53,0
"371","FL","TORNADO",1979,"Jan",0,1,1355.25,0
"372","TX","TORNADO",1979,"Jan",0,0,25,0
"373","AL","TSTM WIND",1979,"Jan",0,0,0,0
"374","AZ","TSTM WIND",1979,"Jan",0,0,0,0
"375","CA","TSTM WIND",1979,"Jan",0,0,0,0
"376","DE","TSTM WIND",1979,"Jan",0,0,0,0
"377","FL","TSTM WIND",1979,"Jan",0,0,0,0
"378","LA","TSTM WIND",1979,"Jan",0,0,0,0
"379","MS","TSTM WIND",1979,"Jan",0,0,0,0
"380","TX","TSTM WIND",1979,"Jan",0,0,0,0
"381","VA","TSTM WIND",1979,"Jan",0,0,0,0
"382","TX","HAIL",1980,"Jan",0,0,0,0
"383","CA","TORNADO",1980,"Jan",0,1,252.5,0
"384","FL","TORNADO",1980,"Jan",0,0,27.5,0
"385","OH","TORNADO",1980,"Jan",0,0,250,0
"386","AZ","TSTM WIND",1980,"Jan",0,0,0,0
"387","CA","TSTM WIND",1980,"Jan",0,0,0,0
"388","ID","TSTM WIND",1980,"Jan",0,0,0,0
"389","IN","TSTM WIND",1980,"Jan",0,0,0,0
"390","LA","TSTM WIND",1980,"Jan",0,0,0,0
"391","MS","TSTM WIND",1980,"Jan",0,0,0,0
"392","TN","TSTM WIND",1980,"Jan",0,0,0,0
"393","TX","TSTM WIND",1980,"Jan",0,0,0,0
"394","CA","TORNADO",1981,"Jan",0,0,27.5,0
"395","AL","HAIL",1982,"Jan",0,0,0,0
"396","AR","HAIL",1982,"Jan",0,0,0,0
"397","CA","HAIL",1982,"Jan",0,0,0,0
"398","LA","HAIL",1982,"Jan",0,0,0,0
"399","OK","HAIL",1982,"Jan",0,0,0,0
"400","TN","HAIL",1982,"Jan",0,0,0,0
"401","AL","TORNADO",1982,"Jan",0,17,1352.5,0
"402","AR","TORNADO",1982,"Jan",0,1,525,0
"403","CA","TORNADO",1982,"Jan",0,0,0,0
"404","FL","TORNADO",1982,"Jan",0,0,275,0
"405","GA","TORNADO",1982,"Jan",0,0,250,0
"406","LA","TORNADO",1982,"Jan",0,1,25,0
"407","MS","TORNADO",1982,"Jan",1,17,252.5,0
"408","AL","TSTM WIND",1982,"Jan",0,0,0,0
"409","AR","TSTM WIND",1982,"Jan",0,0,0,0
"410","CA","TSTM WIND",1982,"Jan",0,0,0,0
"411","FL","TSTM WIND",1982,"Jan",0,0,0,0
"412","GA","TSTM WIND",1982,"Jan",0,0,0,0
"413","LA","TSTM WIND",1982,"Jan",0,0,0,0
"414","MS","TSTM WIND",1982,"Jan",0,0,0,0
"415","NC","TSTM WIND",1982,"Jan",0,0,0,0
"416","OH","TSTM WIND",1982,"Jan",0,0,0,0
"417","SC","TSTM WIND",1982,"Jan",0,0,0,0
"418","TN","TSTM WIND",1982,"Jan",0,0,0,0
"419","TX","TSTM WIND",1982,"Jan",0,0,0,0
"420","VA","TSTM WIND",1982,"Jan",0,0,0,0
"421","AR","HAIL",1983,"Jan",0,0,0,0
"422","CA","HAIL",1983,"Jan",0,0,0,0
"423","FL","HAIL",1983,"Jan",0,0,0,0
"424","TX","HAIL",1983,"Jan",0,0,0,0
"425","FL","TORNADO",1983,"Jan",0,0,2.5,0
"426","LA","TORNADO",1983,"Jan",2,2,825.03,0
"427","TX","TORNADO",1983,"Jan",0,5,507.5,0
"428","AR","TSTM WIND",1983,"Jan",0,0,0,0
"429","AZ","TSTM WIND",1983,"Jan",0,0,0,0
"430","CA","TSTM WIND",1983,"Jan",0,0,0,0
"431","LA","TSTM WIND",1983,"Jan",0,0,0,0
"432","MS","TSTM WIND",1983,"Jan",0,0,0,0
"433","TX","TSTM WIND",1983,"Jan",0,0,0,0
"434","CA","TORNADO",1984,"Jan",0,0,2.5,0
"435","FL","TSTM WIND",1984,"Jan",0,0,0,0
"436","GA","TSTM WIND",1984,"Jan",0,0,0,0
"437","LA","HAIL",1985,"Jan",0,0,0,0
"438","AL","TORNADO",1985,"Jan",0,0,0.03,0
"439","FL","TORNADO",1985,"Jan",0,0,25,0
"440","KY","TSTM WIND",1985,"Jan",0,0,0,0
"441","LA","TSTM WIND",1985,"Jan",0,0,0,0
"442","FL","TSTM WIND",1986,"Jan",0,3,0,0
"443","WA","TSTM WIND",1986,"Jan",0,0,0,0
"444","LA","HAIL",1987,"Jan",0,0,0,0
"445","TX","HAIL",1987,"Jan",0,0,0,0
"446","FL","TORNADO",1987,"Jan",0,1,552.5,0
"447","TX","TORNADO",1987,"Jan",0,0,0,0
"448","FL","TSTM WIND",1987,"Jan",0,0,0,0
"449","LA","TSTM WIND",1987,"Jan",0,0,0,0
"450","MO","TSTM WIND",1987,"Jan",0,0,0,0
"451","MS","TSTM WIND",1987,"Jan",0,0,0,0
"452","NC","TSTM WIND",1987,"Jan",0,0,0,0
"453","TX","TSTM WIND",1987,"Jan",0,0,0,0
"454","AL","HAIL",1988,"Jan",0,0,0,0
"455","AR","HAIL",1988,"Jan",0,0,0,0
"456","LA","HAIL",1988,"Jan",0,0,0,0
"457","MS","HAIL",1988,"Jan",0,0,0,0
"458","TX","HAIL",1988,"Jan",0,0,0,0
"459","AL","TORNADO",1988,"Jan",0,35,775,0
"460","AR","TORNADO",1988,"Jan",0,13,2.5,0
